name,smiles,cas,source,D_exp_eV,cccbdb_status,cccbdb_diff_pct,burcat_status,burcat_diff_pct,combined_status,best_diff_pct
Dihydrogen,[HH],1333-74-0,ATcT_0K,4.4634,ok_<1%,0.329,warn_1-2%,1.241,ok_consensus,0.329
Dioxyamidogen,[NH]O[O],71843-95-3,ATcT_0K,9.6294,n/a,,n/a,,n/a,
Disulfene_oxide,O=S=S,20901-21-7,ATcT_0K,8.7766,ok_<1%,0.457,warn_1-2%,1.557,ok_consensus,0.457
Divinylacetylene,C=CC#CC=C,821-08-9,ATcT_0K,53.9183,n/a,,n/a,,n/a,
EG,OCCO,107-21-1,NIST,37.64,ok_<1%,-0.124,fail_>2%,-21.477,one_source_fail,-0.124
Et2O,CCOCC,60-29-7,NIST,57.5,ok_<1%,-0.022,ok_<1%,0.012,ok_consensus,0.012
EtBr,CCBr,74-96-4,NIST,27.88,ok_<1%,0.327,ok_<1%,0.264,ok_consensus,0.264
EtCN,CCC#N,107-12-0,NIST,37.93,ok_<1%,0.043,ok_<1%,0.065,ok_consensus,0.043
EtCl,CCCl,75-00-3,NIST,28.57,ok_<1%,0.013,ok_<1%,-0.084,ok_consensus,0.013
EtF,CCF,353-36-6,NIST,29.7,n/a,,ok_<1%,-0.048,ok_one_source,-0.048
EtNH2,CCN,75-04-7,NIST,36.06,ok_<1%,0.008,ok_<1%,0.017,ok_consensus,0.008
EtOAc,CCOC(=O)C,141-78-6,NIST,57.56,ok_<1%,0.014,ok_<1%,0.014,ok_consensus,0.014
EtOMe,CCOC,540-67-0,NIST,45.18,ok_<1%,0.011,ok_<1%,0.106,ok_consensus,0.011
EtSH,CCS,75-08-1,NIST,31.76,ok_<1%,0.005,ok_<1%,-0.076,ok_consensus,0.005
EtSMe,CCSC,624-89-5,NIST,43.85,ok_<1%,0.014,n/a,,ok_one_source,0.014
EtSSH,CCSS,74004-30-1,NIST,34.46,n/a,,n/a,,n/a,
Ethanimine,CC=N,20729-41-3,ATcT_0K,30.241,warn_1-2%,1.622,n/a,,ok_one_source,1.622
Ethenedione,C(=C=O)=O,4363-38-6,ATcT_0K,19.7128,n/a,,n/a,,n/a,
Ethoxy,CC[O],2154-50-9,ATcT_0K,28.4427,n/a,,warn_1-2%,1.447,ok_one_source,1.447
Ethyl,C[CH2],2025-56-1,ATcT_0K,24.5794,ok_<1%,-0.034,warn_1-2%,1.345,ok_consensus,-0.034
Ethylperoxy,CCO[O],3170-61-4,ATcT_0K,31.115,n/a,,warn_1-2%,1.209,ok_one_source,1.209
F2,FF,7782-41-4,ATcT,1.602,ok_<1%,-0.042,fail_>2%,2.711,one_source_fail,-0.042
Fe(CO)5,[Fe](=C=O)(=C=O)(=C=O)(=C=O)=C=O,13463-40-6,NIST,61.91,n/a,,ok_<1%,0.001,ok_one_source,0.001
Fe2O3_frag,O=[Fe]O[Fe]=O,1309-37-1,Gurvich,19.455,n/a,,n/a,,n/a,
FeBr2,Br[Fe]Br,,JANAF,7.297,n/a,,n/a,,n/a,
FeBr3,Br[Fe](Br)Br,,JANAF,9.503,n/a,,n/a,,n/a,
FeCl,[Fe]Cl,,CRC,3.52,n/a,,n/a,,n/a,
FeCl2,Cl[Fe]Cl,7758-94-3,JANAF,8.29,n/a,,n/a,,n/a,
FeCl3,Cl[Fe](Cl)Cl,7705-08-0,JANAF,10.71,n/a,,ok_<1%,-0.002,ok_one_source,-0.002
FeF,[Fe]F,,CRC,4.51,n/a,,n/a,,n/a,
FeF2,F[Fe]F,,JANAF,10.0,n/a,,n/a,,n/a,
FeF3,F[Fe](F)F,7783-50-8,JANAF,15.282,n/a,,n/a,,n/a,
FeI2,I[Fe]I,,Gurvich,5.823,n/a,,n/a,,n/a,
FeO,[Fe]=O,17125-56-3,CRC,4.17,n/a,,n/a,,n/a,
FeOH,O[Fe],,Gurvich,9.478,n/a,,n/a,,n/a,
Fluorochlorobromomethane,C(F)(Cl)Br,593-98-6,ATcT_0K,15.0749,n/a,,warn_1-2%,1.559,ok_one_source,1.559
Fluorodibromomethane,C(F)(Br)Br,1868-53-7,ATcT_0K,14.3873,n/a,,fail_>2%,2.099,single_fail,2.099
Fluorodichloromethane,C(F)(Cl)Cl,75-43-4,ATcT_0K,15.771,warn_1-2%,1.199,warn_1-2%,1.309,ok_consensus,1.199
Fluorotrichloromethane,C(F)(Cl)(Cl)Cl,75-69-4,ATcT_0K,14.83,ok_<1%,-0.122,warn_1-2%,1.381,ok_consensus,-0.122
Formaldoxime,C=NO,75-17-2,ATcT_0K,21.0014,n/a,,fail_>2%,3.047,single_fail,3.047
Formyl_chloride,C(=O)Cl,2565-30-2,ATcT_0K,15.2746,n/a,,ok_<1%,0.963,ok_one_source,0.963
